Player Name,How Out,Fielder,Bowler,Runs,Inns,Opposition,Ground,Date,Description,Balls,Minutes,4s,6s,SR
V Kohli,caught,KC Sangakkara,UWMBCA Welegedara,9,1,Sri Lanka,Dhaka,5 Jan 2010," 6.5  great reflexes by Sangakkara! Comes round the wicket, Kohli tries to cheekily nudge it down to third man but gets a thick edge, Sanga falls to his right and catches it  62/2 ",12,19,1,0,75.00
V Kohli,lbw,,KMDN Kulasekara,12,1,Sri Lanka,Dambulla,18 Aug 2008," 7.5  lbw! Kulasekara pitches the ball on a good length just outside off stump and nips it back into the right-hander, Kohli gets half a stride forward and tries to drive, the ball beats the inside edge of the bat and crashes into the back pad in front of off stump, that is plumb and Doctrove sends Kohli on his way  23/2 ",22,33,1,0,54.54
V Kohli,lbw,,S Randiv,54,1,Sri Lanka,Nagpur,18 Dec 2009," 26.3  trapped in front. It turned in from outside off stump, Kohli walked across to try to work it to the on side for a single but missed it and was struck in line with the stumps. Hawk eye says it would have hit the top of the middle stump.  132/4 ",65,93,7,0,83.07
V Kohli,caught,KC Sangakkara,UWMBCA Welegedara,2,1,Sri Lanka,Dhaka,13 Jan 2010," 1.6  he's gone! poor shot, cuts away at a wide delivery without any feet movement, and edges it through, this one didn't come in with the angle, rather held its line. Kohli had been edgy through his brief stay, and such a loose shot was always around the corner  4/2 ",8,6,0,0,25.00
V Kohli,not out,,,71,2,Sri Lanka,Dhaka,10 Jan 2010,,68,98,9,0,104.41
V Kohli,caught,M Pushpakumara (sub),S Randiv,107,2,Sri Lanka,Kolkata,24 Dec 2009," 39.2  skips out and looks to dump this over long-on but ends up miscuing it, its up there for a while and the sub, Pushpakumara, settles under it and cups it just in front of the boundary, ending a very pleasing century from Kohli  247/3 ",114,0,11,1,93.85
V Kohli,caught,SR Watson,AC Voges,30,2,Australia,Vadodara,25 Oct 2009," 20.4  Virat is once again caught at long-off. We have seen that quite often in the IPL and Champions League games as well. He charged down the track but was beaten in flight, tried to go though with the shot and skied it up. Watson ran in from long-off to take a good catch  103/3 ",41,53,3,0,73.17
V Kohli,not out,,,102,2,Bangladesh,Dhaka,11 Jan 2010,,95,128,11,0,107.36
V Kohli,caught,GA Manou,DE Bollinger,10,2,Australia,Mohali,2 Nov 2009," 14.3  poor shot, Bollinger angles it outside off and cramps Kohli for a bit if room as he shapes to cut it square on the off side, he ends up getting a tame edge to the keeper  78/2 ",16,32,1,0,62.50
V Kohli,caught,Shakib Al Hasan,Shakib Al Hasan,91,2,Bangladesh,Dhaka,7 Jan 2010," 34.6  Shakib holds on to one this time, this one is flighted generously, Kohli - cramping - has to reach out for the drive, is not to the pitch of the ball, and ends up hitting it low and back to Shakib. Well played Kohli, Bangladesh have look-in again, just when it started to look like a cruise  203/4 ",102,136,7,0,89.21
V Kohli,bowled,,UWMBCA Welegedara,27,1,Sri Lanka,Rajkot,15 Dec 2009," 47.2  bowled him, a touch slower, 127ks, he is looking to hit this length delivery across the line and over midwicket, misses and is gone  386/7 ",19,20,4,0,142.10
V Kohli,not out,,,2,1,Sri Lanka,Colombo (RPS),14 Sep 2009,,2,6,0,0,100.00
V Kohli,caught,Umar Gul,Shahid Afridi,16,2,Pakistan,Centurion,26 Sep 2009, 21.3  Kohli rushes down the track and lofts it high towards long-off where Gul is stationed. Gul back-pedals to catch it but it bounds off his palms .. Gul swoops down to catch it but it again bounces off his palms but he nails it the third time!  126/3 ,24,28,1,0,66.66
V Kohli,not out,,,79,2,West Indies,Johannesburg,30 Sep 2009,,104,121,9,2,75.96
V Kohli (c),caught,JM Vince (sub),LE Plunkett,66,2,England,Birmingham,30 Jun 2019," 28.2  [rubs eyes] oh Virat... Steers a length ball to backward point! YES, YOU READ THAT RIGHT! Another fifty but no cigar for Kohli, who has given England an opening just when things were beginning to get itchy! Eager to get bat on ball, maybe skidded through a touch, and Vince swallowed a fat outside edge  146/2 ",76,103,7,0,86.84
V Kohli (c),caught,Sarfaraz Ahmed,Mohammad Amir,77,1,Pakistan,Manchester,16 Jun 2019," 47.4  gone, is he? Pakistan have Kohli! Quick bouncer, too quick for Kohli, who tried to swivel and pull it to fine leg. Gets the faintest of edges, and a prolonged appeal moves the umpire's finger  314/5 ",65,105,7,0,118.46
V Kohli (c),caught,Rubel Hossain,Mustafizur Rahman,26,1,Bangladesh,Birmingham,2 Jul 2019," 38.2  short, and he has holed out to midwicket! That cutter again from Mustafiz that does the trick. May have stuck in the pitch for a bit more than Kohli expected. He was aiming for that short boundary once again, and he placed it right down Rubel's throat. Kohli falls for the first time in six knocks without getting to at least 50!  237/3 ",27,45,3,0,96.29
V Kohli (c),caught,DM Bravo (sub),JO Holder,72,1,West Indies,Manchester,27 Jun 2019," 38.2  Kohli's filthy with himself. He's just pulled a half-tracker to midwicket. It was short, seemed to stop a bit on the pitch. Didn't bounce as much too. Kohli got into position to pull but played it too early, had to also adjust for lack of bounce and the ball goes very tamely off the toe end. Comfortable catching height and he gobbles it up. Kohli can't believe it, but he has to walk back  180/5 ",82,146,8,0,87.80
V Kohli (c),caught,PJ Cummins,MP Stoinis,82,1,Australia,The Oval,9 Jun 2019," 49.5  length ball, outside off stump, and Kohli tries to slap a cut over point. But it's not in the gap, and the person in the deep comfortably takes this catch  348/5 ",77,128,4,2,106.49
V Kohli (c),caught,Rahmat Shah,Mohammad Nabi,67,1,Afghanistan,Southampton,22 Jun 2019," 30.3  that's the big one! A bit of extra bounce on a regulation off-break, that Kohli shapes to cut away. Gets the upper edge and it scoops up for point inside the circle. Rahmat Shah dives foward and completes the catch. Well? If India wanted to find out how well they can ride out a rough situation, they've got one now!  135/4 ",63,105,5,0,106.34
V Kohli (c),caught,AT Carey,MP Stoinis,20,2,Australia,Delhi,13 Mar 2019," 12.3  Kohli walks too! Extra bounce does the Indian captain. You'd have expected that from one of the big scary quicks but this is Marcus Stoinis! And boy is he thrilled. A back of a length delivery outside off - ripe for the cut shot, which is what Kohli tries - gets a bit of a top edge through to the keeper. Cross-seamed variation from the Australian allrounder and it does the trick  68/2 ",22,0,2,0,90.90
V Kohli (c),caught,Q de Kock,AL Phehlukwayo,18,2,South Africa,Southampton,5 Jun 2019," 15.3  this has to be the catch of the day, of the week, and maybe the tournament when we look back four weeks later!  Sensational, absolutely sensational from de Kock.  Kohli has a waft at this away from the body as Andile gets this to straighten a hint, there's extra bounce on this and so he gets a thick edge as he tries to run it down. The ball was on the rise but de Kock dived full length to his right to pluck this magical catch one-handed even as it kept going away from him.  54/2 ",34,44,1,0,52.94
V Kohli (c),caught,MP Stoinis,PJ Cummins,116,1,Australia,Nagpur,5 Mar 2019," 47.1  caught at deep square leg! Kohli can't believe he found the fielder! He's furious with himself. Short slower ball stopped in the surface a touch, he timed the pull shot well but just dragged it squarer than he intended, straight to Stoinis who holds on! The end of another masterful display.  248/8 ",120,0,10,0,96.66
V Kohli (c),bowled,,A Zampa,123,2,Australia,Ranchi,8 Mar 2019," 37.3  Zampa has the last laugh! It's the googly that gets Kohli. Full on middle, and spinning into Kohli. He tries to whip this off his toes to midwicket, but the ball goes under his bat, and clips leg stump. Kohli (as expected) is not happy at all  219/6 ",95,0,16,1,129.47
V Kohli (c),caught,IS Sodhi,TA Boult,43,1,New Zealand,Mount Maunganui,26 Jan 2019," 39.1  Boult's pace has done the trick. Kohli looks to take him on with the short ball, but is beaten for pace and ends up getting a thick, fat top edge and Sodhi takes a good catch at fine leg, running around the ropes to his right. Important moment in the game.  236/3 ",45,59,5,0,95.55
V Kohli (c),lbw,,A Zampa,44,2,Australia,Hyderabad (Deccan),2 Mar 2019," 16.6  he presses forward for a length ball that straightens into him, and it's not given. But Australia have referred this! Certainly looked close, and it has hit the pad first in fact! Should now be a question of the line of it...pitches in line, impact in line, and hitting the wickets. Massive wicket for Australia to have picked up!  80/2 ",45,0,6,1,97.77
V Kohli (c),caught,HM Nicholls,TA Boult,60,2,New Zealand,Mount Maunganui,28 Jan 2019," 31.1  nicely snapped by Nicholls! Another no-feet drive from Kohli at a length ball. Length ball pushed across him. Reaches out with his hands to try and get this over extra cover on the up. Nicholls times the jump perfectly as he holds on. That was coming down too as he took it behind his head, which suggests it could have been an offcutter from Boult. He was brought back for the wicket, and he gets it  168/3 ",74,94,6,1,81.08
V Kohli (c),caught,TWM Latham,LH Ferguson,45,2,New Zealand,Napier,23 Jan 2019," 28.4  caught behind! The Ferguson short ball works. And that's largely because it climbs up to his badge. Kohli's the kind to take on the short ball. If only to show bowlers they won't have their way. He's got out this way before, especially when his body's the target and sometimes even when the bouncer is straying down leg - as this is. Goes for the hook and gets a thin tickle through to the keeper.  132/2 ",59,59,3,0,76.27
V Kohli (c),caught,AT Carey,JA Richardson,7,1,Australia,Mohali,10 Mar 2019," 39.4  full ball, wide and he gets an outside edge to this. It's been taken by Carey, and Kumara Dharmasena is sending it upstairs. The soft signal is out for caught behind. The replays don't look conclusive at first glance, but there needs to be conclusive evidence to overturn this, remember. It's given out, and there won't be a century no. 42 for Virat Kohli here. Still lots of batting to come, of course...  266/3 ",6,0,1,0,116.66
V Kohli (c),caught,AT Carey,JA Richardson,46,2,Australia,Melbourne,18 Jan 2019," 29.6  edged and gone. Australia finally have a wicket. And it's BiiiiG! Kohli pushes way away from the body, Richardson tempting him with pace and width. Big, fat edge to Carey who holds on this time  113/3 ",62,0,3,0,74.19
V Kohli (c),caught,GJ Maxwell,JA Richardson,104,2,Australia,Adelaide,15 Jan 2019," 43.4  whoopsie. A huge moment for Australia, this. This is full, a half-volley on leg stump, and I don't know if Kohli was looking to hit this in the air, but he's flicked it, possibly a touch earlier than he wanted to, timed it perhaps better than he wanted to, and picked out the fielder at deep midwicket. With everyone back on the leg side, I doubt this was intentional  242/4 ",112,150,5,2,92.85
V Kohli (c),not out,,,33,2,West Indies,Thiruvananthapuram,1 Nov 2018,,29,57,6,0,113.79
V Kohli (c),caught,MP Stoinis,JA Richardson,3,2,Australia,Sydney,12 Jan 2019," 3.3  caught at square leg! Oh no! He's nailed this off his pads straight to Marcus Stoinis at forward square! It was 138kph, nearly a half-volley on leg stump, he pinged it off his pads but in the air, waist high, straight to Stoinis, he sucked his stomach in, it bobbled a touch but he clutched it tight!  4/2 ",8,10,0,0,37.50
V Kohli (c),caught,SD Hope,KAJ Roach,16,1,West Indies,Mumbai (BS),29 Oct 2018," 16.4  no hundred for Kohli today! Length ball outside off, and Kohli tries to dab this down to third man. Plays it inside the line of the ball as the ball seams away. Open face of the bat, and the delivery ensures it takes the outside of his bat. Stunned silence at the CCI  101/2 ",17,0,2,0,94.11
V Kohli (c),bowled,,MN Samuels,107,2,West Indies,Pune,27 Oct 2018," 41.3  bowled him! That should be the game. Kohli goes big, across the line. Looks for a big pull but the ball was drifting into him, and as a result, gets tucked up. Misses the ball altogether as it goes straight through and crashes into middle. Kohli had to take a chance against Samuels, and so he did. And he pays for it with his wicket. Top innings from the captain  220/7 ",119,0,10,1,89.91
V Kohli (c),lbw,,MM Ali,45,2,England,Lord's,14 Jul 2018," 26.6  appeal for lbw! And given by the man with the shield. Length ball on off that stays low, and with the ball hitting his front leg, the umpire has no hesitation in raising his finger. Kohli tries to play across the line, but he misses the shot. Moeen reaps the reward  140/4 ",56,0,2,0,80.35
V Kohli (c),not out,,,157,1,West Indies,Visakhapatnam,24 Oct 2018,,129,217,13,4,121.70
V Kohli (c),stumped,SD Hope,D Bishoo,140,2,West Indies,Guwahati,21 Oct 2018," 32.6  beautiful delivery! And Kohli isn't waiting. He knows he's stumped, and the Guwahati crowd rises to its feet. Full on middle, and spinning across Kohli. He tries to drive to cover, but he misses and Shai Hope whips the bails off. Kohli's back foot is nowhere near the crease, and replays say that Bishoo hasn't overstepped either  256/2 ",107,0,21,2,130.84
V Kohli (c),stumped,JC Buttler,AU Rashid,75,2,England,Nottingham,12 Jul 2018," 32.6  got him! That's a collector's item for Rashid! A beautifully flighted legbreak, dipping on Kohli, exploding past his edge, and Buttler's smart gloves seal the deal! A genuine legspinner's dismissal of a well-set batsman. It's something for England to cling to in the wreckage of their challenge in this contest  226/2 ",82,0,7,0,91.46
V Kohli (c),bowled,,AU Rashid,71,1,England,Leeds,17 Jul 2018," 30.1  oh, that's a ripper! Kohli is castled! He looks stunned... set and at ease, but suddenly gone. Rashid can dine out on this one for a while, a beautiful legbreak that has ragged from leg stump to smack off, beating his outside edge on the back foot! Kohli stares at the pitch, looks back at the bowler, then heads for the dressing room... How big a moment is that?  156/4 ",72,98,8,0,98.61
V Kohli (c),caught,DA Miller,CH Morris,75,1,South Africa,Johannesburg,10 Feb 2018," 31.1  caught at cover! The flay often works for Kohli, even when he tries to hit on the up, especially when he has so much room. But Morris, the fresh bowler, has a little more gas to hit the deck and get the extra bounce to knock over the India captain.  178/2 ",83,119,7,1,90.36
V Kohli (c),not out,,,129,2,South Africa,Centurion,16 Feb 2018,,96,123,19,2,134.37
V Kohli (c),not out,,,160,1,South Africa,Cape Town,7 Feb 2018,,159,220,12,2,100.62
V Kohli (c),not out,,,46,2,South Africa,Centurion,4 Feb 2018,,50,64,4,1,92.00
V Kohli (c),run out,,,36,1,South Africa,Port Elizabeth,13 Feb 2018," 25.3  it's another Rohit-Kohli run out. Kohli runs till the short of a good length area from the non-striker's end and has no chance of making it back after Rohit refuses the run. It's a length ball tapped pitch side off the back foot, in front of the stumps. Rohit takes a big step before realising he probably won't make it and calls no. By now, Kohli is already on his way. The fielder at point takes his time and hits the stumps with an under-arm throw on the bounce  153/2 ",54,76,2,0,66.66
V Kohli (c),caught,KS Williamson,TG Southee,113,1,New Zealand,Kanpur,29 Oct 2017," 46.4  taken at long-off! Southee profiting with the slower delivery again, this one comes off the back of the hand, asking Kohli to make all the pace himself. He tries to lift it, perhaps wider of the man on the boundary. But in the end, it carries straight down Williamson's throat  302/4 ",106,166,9,1,106.60
V Kohli (c),caught,TA Boult,TG Southee,121,1,New Zealand,Mumbai,22 Oct 2017," 49.2  six and out. But he's done his job, much more actually. It's shortish around off, Kohli uses his bottom hand to swing through the line, the ball lobs to long-on, where Boult takes a simple catch. A tired acknowledgement of the applause, what fitness, superb innings  270/7 ",125,203,9,2,96.80
V Kohli (c),caught,K Rabada,AL Phehlukwayo,112,2,South Africa,Durban,1 Feb 2018," 44.3  yet another slower bouncer. Yet another hoick under it. This time Rabada comes under it and snaps it up. Unlike Kohli to keep going after that, but Phehlukwayo's persistence has been rewarded. Nevertheless, it's a standing ovation for Kohli for yet another stunning second-innings knock  262/4 ",119,164,10,0,94.11
V Kohli (c),caught,MP Stoinis,A Zampa,39,2,Australia,Nagpur,1 Oct 2017," 39.4  such a good-looking shot, and it may have been six in Bengaluru, but here it's caught by long-off, comfortably. Tossed up on off stump, and he looks to loft this inside-out, ends up scooping it straight into the hands of long-off  227/3 ",55,73,2,0,70.90
V Kohli (c),bowled,,NM Coulter-Nile,21,2,Australia,Bengaluru,28 Sep 2017," 24.2  happens again. Kohli has done it again, it was always going to happen and I think Coulter-Nile was playing for that. Good length outside off, the ball seaming back in, Kohli tries to dab this down to third man, but it takes the inside edge and hits the off stump. That's another error from Kohli, and the worst thing is he has repeated the mistake from Kolkata. It is a nice shot to a ball that is slightly wide and when the ball isn't seaming in.  147/3 ",21,23,3,0,100.00
V Kohli (c),caught,TWM Latham,C de Grandhomme,29,2,New Zealand,Pune,25 Oct 2017," 13.5  caught behind, excellent work from Latham! It's the cross-seamer, which tends to bounce a touch more if the seam hits the pitch. Kohli, going for a drive, away from his body feathers a nick to the wicketkeeper, who has done really well, standing up. Rising with the ball, taking it ever so smoothly  79/2 ",29,40,3,1,100.00
V Kohli (c),not out,,,110,2,Sri Lanka,Colombo (RPS),3 Sep 2017,,116,0,9,0,94.82
V Kohli (c),caught,AJ Finch,AC Agar,28,2,Australia,Indore,24 Sep 2017," 34.3  eeks, he's picked out long-on has Virat Kohli. Very full from Agar outside off, Kohli sees the length and wants to go over cover, but the bat comes down straight, as opposed to from slightly leg side, which means the ball skews off the inside half and lobs to Finch at long-off. That's a rare mistake from Kohli, won't be happy with the dead ball either  203/3 ",35,58,2,0,80.00
V Kohli (c),caught,GJ Maxwell,NM Coulter-Nile,0,1,Australia,Chennai,17 Sep 2017," 5.1  Kohli can't get away. Maxwell at backward point pulls off a belting one-handed catch over his head. Kohli has been dismissed for a four-ball duck. This was full and wide - wider than a set of stumps outside off again. Kohli had left his first ball. He chased the second one with a big drive. The big drive comes out again, he slices it into the air. Maxwell propels himself at backward point, sticks out his right hand, and grabs the ball, and lands. Great reflexes from Maxwell  11/2 ",4,7,0,0,0.00
